samples	missing	called	pct_called
sample_0001	8	1740	0.9954233409610984
sample_0002	6	1742	0.9965675057208238
sample_0003	7	1741	0.9959954233409611
sample_0004	8	1740	0.9954233409610984
sample_0005	35	1713	0.9799771167048055
sample_0006	38	1710	0.9782608695652174
sample_0007	8	1740	0.9954233409610984
sample_0008	30	1718	0.982837528604119
sample_0009	21	1727	0.9879862700228833
sample_0010	9	1739	0.9948512585812357
sample_0011	13	1735	0.9925629290617849
sample_0012	13	1735	0.9925629290617849
sample_0013	5	1743	0.9971395881006865
sample_0014	5	1743	0.9971395881006865
sample_0015	7	1741	0.9959954233409611
sample_0016	7	1741	0.9959954233409611
sample_0017	7	1741	0.9959954233409611
sample_0018	7	1741	0.9959954233409611
sample_0019	9	1739	0.9948512585812357
sample_0020	8	1740	0.9954233409610984
sample_0021	7	1741	0.9959954233409611
sample_0022	6	1742	0.9965675057208238
sample_0023	6	1742	0.9965675057208238
sample_0024	6	1742	0.9965675057208238
sample_0025	7	1741	0.9959954233409611
sample_0026	5	1743	0.9971395881006865
sample_0027	7	1741	0.9959954233409611
sample_0028	7	1741	0.9959954233409611
sample_0029	9	1739	0.9948512585812357
sample_0030	8	1740	0.9954233409610984
sample_0031	7	1741	0.9959954233409611
sample_0032	7	1741	0.9959954233409611
sample_0033	8	1740	0.9954233409610984
sample_0034	6	1742	0.9965675057208238
sample_0035	5	1743	0.9971395881006865
sample_0036	8	1740	0.9954233409610984
sample_0037	7	1741	0.9959954233409611
sample_0038	9	1739	0.9948512585812357
sample_0039	8	1740	0.9954233409610984
sample_0040	6	1742	0.9965675057208238
sample_0041	7	1741	0.9959954233409611
sample_0042	4	1744	0.9977116704805492
sample_0043	7	1741	0.9959954233409611
sample_0044	10	1738	0.994279176201373
sample_0045	8	1740	0.9954233409610984
sample_0046	3	1745	0.9982837528604119
sample_0047	13	1735	0.9925629290617849
sample_0048	4	1744	0.9977116704805492
sample_0049	8	1740	0.9954233409610984
sample_0050	9	1739	0.9948512585812357
sample_0051	9	1739	0.9948512585812357
sample_0052	7	1741	0.9959954233409611
sample_0053	14	1734	0.9919908466819222
sample_0054	8	1740	0.9954233409610984
sample_0055	8	1740	0.9954233409610984
sample_0056	9	1739	0.9948512585812357
sample_0057	10	1738	0.994279176201373
sample_0058	9	1739	0.9948512585812357
sample_0059	43	1705	0.9754004576659039
sample_0060	7	1741	0.9959954233409611
sample_0061	11	1737	0.9937070938215103
sample_0062	7	1741	0.9959954233409611
sample_0063	16	1732	0.9908466819221968
sample_0064	9	1739	0.9948512585812357
sample_0065	10	1738	0.994279176201373
sample_0066	5	1743	0.9971395881006865
sample_0067	6	1742	0.9965675057208238
sample_0068	11	1737	0.9937070938215103
sample_0069	8	1740	0.9954233409610984
sample_0070	6	1742	0.9965675057208238
sample_0071	8	1740	0.9954233409610984
sample_0072	10	1738	0.994279176201373
sample_0073	5	1743	0.9971395881006865
sample_0074	9	1739	0.9948512585812357
sample_0075	6	1742	0.9965675057208238
sample_0076	4	1744	0.9977116704805492
sample_0077	8	1740	0.9954233409610984
sample_0078	7	1741	0.9959954233409611
sample_0079	7	1741	0.9959954233409611
sample_0080	9	1739	0.9948512585812357
sample_0081	8	1740	0.9954233409610984
sample_0082	12	1736	0.9931350114416476
sample_0083	7	1741	0.9959954233409611
sample_0084	10	1738	0.994279176201373
sample_0085	5	1743	0.9971395881006865
sample_0086	9	1739	0.9948512585812357
sample_0087	8	1740	0.9954233409610984
sample_0088	3	1745	0.9982837528604119
sample_0089	7	1741	0.9959954233409611
sample_0090	10	1738	0.994279176201373
sample_0091	18	1730	0.9897025171624714
sample_0092	9	1739	0.9948512585812357
sample_0093	8	1740	0.9954233409610984
sample_0094	7	1741	0.9959954233409611
sample_0095	7	1741	0.9959954233409611
sample_0096	5	1743	0.9971395881006865
sample_0097	5	1743	0.9971395881006865
sample_0098	15	1733	0.9914187643020596
sample_0099	9	1739	0.9948512585812357
sample_0100	8	1740	0.9954233409610984
sample_0101	5	1743	0.9971395881006865
sample_0102	8	1740	0.9954233409610984
sample_0103	6	1742	0.9965675057208238
sample_0104	7	1741	0.9959954233409611
sample_0105	11	1737	0.9937070938215103
sample_0106	13	1735	0.9925629290617849
sample_0107	12	1736	0.9931350114416476
sample_0108	11	1737	0.9937070938215103
sample_0109	13	1735	0.9925629290617849
sample_0110	5	1743	0.9971395881006865
sample_0111	19	1729	0.9891304347826086
sample_0112	12	1736	0.9931350114416476
sample_0113	10	1738	0.994279176201373
sample_0114	8	1740	0.9954233409610984
sample_0115	8	1740	0.9954233409610984
sample_0116	6	1742	0.9965675057208238
sample_0117	17	1731	0.9902745995423341
sample_0118	4	1744	0.9977116704805492
sample_0119	3	1745	0.9982837528604119
sample_0120	12	1736	0.9931350114416476
sample_0121	10	1738	0.994279176201373
sample_0122	20	1728	0.988558352402746
sample_0123	5	1743	0.9971395881006865
sample_0124	8	1740	0.9954233409610984
sample_0125	6	1742	0.9965675057208238
sample_0126	16	1732	0.9908466819221968
sample_0127	7	1741	0.9959954233409611
sample_0128	9	1739	0.9948512585812357
sample_0129	4	1744	0.9977116704805492
sample_0130	14	1734	0.9919908466819222
sample_0131	5	1743	0.9971395881006865
sample_0132	8	1740	0.9954233409610984
sample_0133	21	1727	0.9879862700228833
sample_0134	46	1702	0.9736842105263158
sample_0135	9	1739	0.9948512585812357
sample_0136	11	1737	0.9937070938215103
sample_0137	12	1736	0.9931350114416476
sample_0138	9	1739	0.9948512585812357
sample_0139	6	1742	0.9965675057208238
sample_0140	4	1744	0.9977116704805492
sample_0141	10	1738	0.994279176201373
sample_0142	5	1743	0.9971395881006865
sample_0143	11	1737	0.9937070938215103
sample_0144	8	1740	0.9954233409610984
sample_0145	6	1742	0.9965675057208238
sample_0146	8	1740	0.9954233409610984
sample_0147	7	1741	0.9959954233409611
sample_0148	10	1738	0.994279176201373
sample_0149	10	1738	0.994279176201373
sample_0150	8	1740	0.9954233409610984
sample_0151	6	1742	0.9965675057208238
sample_0152	8	1740	0.9954233409610984
sample_0153	5	1743	0.9971395881006865
sample_0154	5	1743	0.9971395881006865
sample_0155	8	1740	0.9954233409610984
sample_0156	9	1739	0.9948512585812357
sample_0157	7	1741	0.9959954233409611
sample_0158	7	1741	0.9959954233409611
sample_0159	9	1739	0.9948512585812357
sample_0160	8	1740	0.9954233409610984
sample_0161	3	1745	0.9982837528604119
sample_0162	20	1728	0.988558352402746
sample_0163	15	1733	0.9914187643020596
sample_0164	8	1740	0.9954233409610984
sample_0165	9	1739	0.9948512585812357
sample_0166	6	1742	0.9965675057208238
sample_0167	8	1740	0.9954233409610984
sample_0168	10	1738	0.994279176201373
sample_0169	8	1740	0.9954233409610984
sample_0170	29	1719	0.9834096109839817
sample_0171	7	1741	0.9959954233409611
sample_0172	7	1741	0.9959954233409611
sample_0173	6	1742	0.9965675057208238
sample_0174	7	1741	0.9959954233409611
sample_0175	11	1737	0.9937070938215103
sample_0176	6	1742	0.9965675057208238
sample_0177	7	1741	0.9959954233409611
sample_0178	83	1665	0.9525171624713958
sample_0179	10	1738	0.994279176201373
sample_0180	11	1737	0.9937070938215103
sample_0181	45	1703	0.9742562929061785
sample_0182	28	1720	0.9839816933638444
sample_0183	99	1649	0.9433638443935927
sample_0184	88	1660	0.9496567505720824
sample_0185	20	1728	0.988558352402746
sample_0186	16	1732	0.9908466819221968
sample_0187	63	1685	0.9639588100686499
sample_0188	23	1725	0.9868421052631579
sample_0189	14	1734	0.9919908466819222
sample_0190	8	1740	0.9954233409610984
sample_0191	7	1741	0.9959954233409611
sample_0192	13	1735	0.9925629290617849
sample_0193	27	1721	0.9845537757437071
sample_0194	6	1742	0.9965675057208238
sample_0195	8	1740	0.9954233409610984
sample_0196	9	1739	0.9948512585812357
sample_0197	6	1742	0.9965675057208238
sample_0198	11	1737	0.9937070938215103
sample_0199	8	1740	0.9954233409610984
sample_0200	7	1741	0.9959954233409611
sample_0201	7	1741	0.9959954233409611
sample_0202	11	1737	0.9937070938215103
sample_0203	7	1741	0.9959954233409611
sample_0204	6	1742	0.9965675057208238
sample_0205	8	1740	0.9954233409610984
sample_0206	9	1739	0.9948512585812357
sample_0207	11	1737	0.9937070938215103
sample_0208	7	1741	0.9959954233409611
sample_0209	12	1736	0.9931350114416476
sample_0210	9	1739	0.9948512585812357
sample_0211	7	1741	0.9959954233409611
sample_0212	11	1737	0.9937070938215103
sample_0213	9	1739	0.9948512585812357
sample_0214	11	1737	0.9937070938215103
sample_0215	4	1744	0.9977116704805492
sample_0216	9	1739	0.9948512585812357
sample_0217	7	1741	0.9959954233409611
sample_0218	7	1741	0.9959954233409611
sample_0219	8	1740	0.9954233409610984
sample_0220	4	1744	0.9977116704805492
sample_0221	5	1743	0.9971395881006865
sample_0222	4	1744	0.9977116704805492
sample_0223	6	1742	0.9965675057208238
sample_0224	8	1740	0.9954233409610984
sample_0225	6	1742	0.9965675057208238
sample_0226	4	1744	0.9977116704805492
sample_0227	8	1740	0.9954233409610984
sample_0228	8	1740	0.9954233409610984
sample_0229	4	1744	0.9977116704805492
sample_0230	8	1740	0.9954233409610984
sample_0231	12	1736	0.9931350114416476
sample_0232	8	1740	0.9954233409610984
sample_0233	12	1736	0.9931350114416476
sample_0234	5	1743	0.9971395881006865
sample_0235	4	1744	0.9977116704805492
sample_0236	7	1741	0.9959954233409611
sample_0237	7	1741	0.9959954233409611
sample_0238	5	1743	0.9971395881006865
sample_0239	7	1741	0.9959954233409611
sample_0240	6	1742	0.9965675057208238
sample_0241	10	1738	0.994279176201373
sample_0242	3	1745	0.9982837528604119
sample_0243	7	1741	0.9959954233409611
sample_0244	8	1740	0.9954233409610984
sample_0245	7	1741	0.9959954233409611
sample_0246	8	1740	0.9954233409610984
sample_0247	5	1743	0.9971395881006865
sample_0248	7	1741	0.9959954233409611
sample_0249	8	1740	0.9954233409610984
sample_0250	12	1736	0.9931350114416476
sample_0251	7	1741	0.9959954233409611
sample_0252	7	1741	0.9959954233409611
sample_0253	8	1740	0.9954233409610984
sample_0254	8	1740	0.9954233409610984
sample_0255	7	1741	0.9959954233409611
sample_0256	7	1741	0.9959954233409611
sample_0257	4	1744	0.9977116704805492
sample_0258	3	1745	0.9982837528604119
sample_0259	8	1740	0.9954233409610984
sample_0260	6	1742	0.9965675057208238
sample_0261	5	1743	0.9971395881006865
sample_0262	7	1741	0.9959954233409611
sample_0263	3	1745	0.9982837528604119
sample_0264	3	1745	0.9982837528604119
sample_0265	8	1740	0.9954233409610984
sample_0266	4	1744	0.9977116704805492
sample_0267	7	1741	0.9959954233409611
sample_0268	6	1742	0.9965675057208238
sample_0269	11	1737	0.9937070938215103
sample_0270	8	1740	0.9954233409610984
sample_0271	6	1742	0.9965675057208238
sample_0272	6	1742	0.9965675057208238
sample_0273	6	1742	0.9965675057208238
sample_0274	5	1743	0.9971395881006865
sample_0275	5	1743	0.9971395881006865
sample_0276	8	1740	0.9954233409610984
sample_0277	11	1737	0.9937070938215103
sample_0278	7	1741	0.9959954233409611
sample_0279	11	1737	0.9937070938215103
sample_0280	12	1736	0.9931350114416476
sample_0281	8	1740	0.9954233409610984
sample_0282	13	1735	0.9925629290617849
sample_0283	8	1740	0.9954233409610984
sample_0284	14	1734	0.9919908466819222
sample_0285	6	1742	0.9965675057208238
sample_0286	8	1740	0.9954233409610984
sample_0287	7	1741	0.9959954233409611
sample_0288	6	1742	0.9965675057208238
sample_0289	7	1741	0.9959954233409611
sample_0290	5	1743	0.9971395881006865
sample_0291	13	1735	0.9925629290617849
sample_0292	11	1737	0.9937070938215103
sample_0293	8	1740	0.9954233409610984
sample_0294	10	1738	0.994279176201373
sample_0295	8	1740	0.9954233409610984
sample_0296	9	1739	0.9948512585812357
sample_0297	11	1737	0.9937070938215103
sample_0298	9	1739	0.9948512585812357
sample_0299	6	1742	0.9965675057208238
sample_0300	16	1732	0.9908466819221968
sample_0301	11	1737	0.9937070938215103
sample_0302	8	1740	0.9954233409610984
sample_0303	5	1743	0.9971395881006865
sample_0304	8	1740	0.9954233409610984
sample_0305	4	1744	0.9977116704805492
sample_0306	8	1740	0.9954233409610984
sample_0307	8	1740	0.9954233409610984
sample_0308	10	1738	0.994279176201373
sample_0309	9	1739	0.9948512585812357
sample_0310	11	1737	0.9937070938215103
sample_0311	3	1745	0.9982837528604119
sample_0312	10	1738	0.994279176201373
sample_0313	5	1743	0.9971395881006865
sample_0314	31	1717	0.9822654462242563
sample_0315	6	1742	0.9965675057208238
sample_0316	5	1743	0.9971395881006865
sample_0317	120	1628	0.931350114416476
sample_0318	10	1738	0.994279176201373
sample_0319	7	1741	0.9959954233409611
sample_0320	9	1739	0.9948512585812357
sample_0321	9	1739	0.9948512585812357
sample_0322	6	1742	0.9965675057208238
sample_0323	7	1741	0.9959954233409611
sample_0324	7	1741	0.9959954233409611
sample_0325	7	1741	0.9959954233409611
sample_0326	3	1745	0.9982837528604119
sample_0327	6	1742	0.9965675057208238
sample_0328	34	1714	0.9805491990846682
sample_0329	181	1567	0.8964530892448512
sample_0330	37	1711	0.9788329519450801
sample_0331	34	1714	0.9805491990846682
sample_0332	51	1697	0.9708237986270023
sample_0333	6	1742	0.9965675057208238
sample_0334	8	1740	0.9954233409610984
sample_0335	8	1740	0.9954233409610984
sample_0336	8	1740	0.9954233409610984
sample_0337	7	1741	0.9959954233409611
sample_0338	8	1740	0.9954233409610984
sample_0339	6	1742	0.9965675057208238
sample_0340	56	1692	0.9679633867276888
sample_0341	6	1742	0.9965675057208238
sample_0342	7	1741	0.9959954233409611
sample_0343	26	1722	0.9851258581235698
sample_0344	14	1734	0.9919908466819222
sample_0345	31	1717	0.9822654462242563
sample_0346	23	1725	0.9868421052631579
sample_0347	13	1735	0.9925629290617849
sample_0348	14	1734	0.9919908466819222
sample_0349	8	1740	0.9954233409610984
sample_0350	10	1738	0.994279176201373
sample_0351	7	1741	0.9959954233409611
sample_0352	5	1743	0.9971395881006865
sample_0353	7	1741	0.9959954233409611
sample_0354	12	1736	0.9931350114416476
sample_0355	6	1742	0.9965675057208238
sample_0356	33	1715	0.9811212814645309
sample_0357	18	1730	0.9897025171624714
sample_0358	34	1714	0.9805491990846682
sample_0359	7	1741	0.9959954233409611
sample_0360	10	1738	0.994279176201373
sample_0361	10	1738	0.994279176201373
sample_0362	8	1740	0.9954233409610984
sample_0363	45	1703	0.9742562929061785
sample_0364	4	1744	0.9977116704805492
sample_0365	7	1741	0.9959954233409611
sample_0366	7	1741	0.9959954233409611
sample_0367	29	1719	0.9834096109839817
sample_0368	30	1718	0.982837528604119
sample_0369	8	1740	0.9954233409610984
sample_0370	6	1742	0.9965675057208238
sample_0371	30	1718	0.982837528604119
sample_0372	4	1744	0.9977116704805492
sample_0373	6	1742	0.9965675057208238
sample_0374	10	1738	0.994279176201373
sample_0375	23	1725	0.9868421052631579
sample_0376	13	1735	0.9925629290617849
sample_0377	6	1742	0.9965675057208238
sample_0378	8	1740	0.9954233409610984
sample_0379	43	1705	0.9754004576659039
sample_0380	25	1723	0.9856979405034325
sample_0381	34	1714	0.9805491990846682
sample_0382	8	1740	0.9954233409610984
sample_0383	3	1745	0.9982837528604119
sample_0384	6	1742	0.9965675057208238
sample_0385	8	1740	0.9954233409610984
sample_0386	7	1741	0.9959954233409611
sample_0387	6	1742	0.9965675057208238
sample_0388	6	1742	0.9965675057208238
sample_0389	3	1745	0.9982837528604119
sample_0390	36	1712	0.9794050343249427
sample_0391	7	1741	0.9959954233409611
sample_0392	9	1739	0.9948512585812357
sample_0393	8	1740	0.9954233409610984
sample_0394	7	1741	0.9959954233409611
sample_0395	5	1743	0.9971395881006865
sample_0396	9	1739	0.9948512585812357
sample_0397	7	1741	0.9959954233409611
sample_0398	25	1723	0.9856979405034325
sample_0399	40	1708	0.977116704805492
sample_0400	6	1742	0.9965675057208238
sample_0401	25	1723	0.9856979405034325
sample_0402	19	1729	0.9891304347826086
sample_0403	5	1743	0.9971395881006865
sample_0404	3	1745	0.9982837528604119
sample_0405	4	1744	0.9977116704805492
sample_0406	6	1742	0.9965675057208238
sample_0407	6	1742	0.9965675057208238
sample_0408	7	1741	0.9959954233409611
sample_0409	12	1736	0.9931350114416476
sample_0410	6	1742	0.9965675057208238
sample_0411	4	1744	0.9977116704805492
sample_0412	21	1727	0.9879862700228833
sample_0413	66	1682	0.9622425629290617
sample_0414	4	1744	0.9977116704805492
sample_0415	10	1738	0.994279176201373
sample_0416	3	1745	0.9982837528604119
sample_0417	4	1744	0.9977116704805492
sample_0418	12	1736	0.9931350114416476
sample_0419	8	1740	0.9954233409610984
sample_0420	8	1740	0.9954233409610984
sample_0421	7	1741	0.9959954233409611
sample_0422	7	1741	0.9959954233409611
sample_0423	7	1741	0.9959954233409611
sample_0424	7	1741	0.9959954233409611
sample_0425	7	1741	0.9959954233409611
sample_0426	6	1742	0.9965675057208238
sample_0427	6	1742	0.9965675057208238
sample_0428	6	1742	0.9965675057208238
sample_0429	3	1745	0.9982837528604119
sample_0430	7	1741	0.9959954233409611
sample_0431	4	1744	0.9977116704805492
